id,clasificacion,tipo_de_muestra,subtipo_de_muestra,analisis,naturaleza,unidades,cantidad_de_toma,tecnica,limite_maximo_permisible,NOM,UNIDADES_g_O_mL,Unidad,nom_Nombre,descripcion
1,AGUA DE RED,Agua potable,Cruda,Coliformes fecales,NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,< 1 UFC/100 mL,NOM-127-SSA1-2021,,mL,Agua para uso y consumo humano. Límites permisibles de la calidad del agua.," NOM-127-SSA1-2021, Agua para uso y consumo humano. Límites permisibles de la calidad del agua."
2,AGUA DE RED,Agua potable,Cruda,Coliformes totales,NO NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,N/A,NOM-127-SSA1-2021,,mL,Agua para uso y consumo humano. Límites permisibles de la calidad del agua.," NOM-127-SSA1-2021, Agua para uso y consumo humano. Límites permisibles de la calidad del agua."
3,AGUA DE RED,Agua potable,De cisterna,Coliformes fecales,NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,< 1 UFC/100 mL,NOM-127-SSA1-2021,,mL,Agua para uso y consumo humano. Límites permisibles de la calidad del agua.," NOM-127-SSA1-2021, Agua para uso y consumo humano. Límites permisibles de la calidad del agua."
4,AGUA DE RED,Agua potable,De cisterna,Coliformes totales,NO NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,N/A,NOM-127-SSA1-2021,,mL,Agua para uso y consumo humano. Límites permisibles de la calidad del agua.," NOM-127-SSA1-2021, Agua para uso y consumo humano. Límites permisibles de la calidad del agua."
5,AGUA DE RED,Agua potable,De pozo,Coliformes fecales,NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,< 1 UFC/100 mL,NOM-127-SSA1-2021,,mL,Agua para uso y consumo humano. Límites permisibles de la calidad del agua.," NOM-127-SSA1-2021, Agua para uso y consumo humano. Límites permisibles de la calidad del agua."
6,AGUA DE RED,Agua potable,De pozo,Coliformes totales,NO NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,N/A,NOM-127-SSA1-2021,,mL,Agua para uso y consumo humano. Límites permisibles de la calidad del agua.," NOM-127-SSA1-2021, Agua para uso y consumo humano. Límites permisibles de la calidad del agua."
7,AGUA DE RED,Agua potable,De red,Coliformes fecales,NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,< 1 UFC/100 mL,NOM-127-SSA1-2021,,mL,Agua para uso y consumo humano. Límites permisibles de la calidad del agua.,"NOM-127-SSA1-2021, Agua para uso y consumo humano. Límites permisibles de la calidad del agua."
8,AGUA DE RED,Agua potable,De red,Mesofílicos aerobios,NORMATIVO,UFC/100mL,300,NOM-201-SSA1-2015. Apéndice A.2.4. Método de prueba para la determinación de Filtración por membrana.,10 000 UFC/mL,Norma UNE 100030:2017,,mL,Prevención y control de la proliferación y diseminación de Legionella en instalaciones.,
9,AGUA DE RED,Agua potable,De red,Coliformes totales,NO NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,N/A,NOM-127-SSA1-2021,,mL,Agua para uso y consumo humano. Límites permisibles de la calidad del agua.," NOM-127-SSA1-2021, Agua para uso y consumo humano. Límites permisibles de la calidad del agua."
10,AGUA DE RED,Agua potable,De red,Legionella spp.,NORMATIVO,AUSENTE/ PRESENTE,1000,ISO 11731:2017. Método por filtración por membrana. Legionella spp. ,AUSENTE,ISO 11731:2017,,mL,Calidad del Agua. Enumeración de Legionella spp.,"ISO 11731:2017, Calidad del Agua. Enumeración de Legionella spp."
11,AGUA PURIFICADA,Agua purificada,Alcalina,Coliformes fecales,NO NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,N/A,NOM-201-SSA1-2015,,mL,"Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias.","NOM-201-SSA1-2015, Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias."
12,AGUA PURIFICADA,Agua purificada,Alcalina,Coliformes totales,NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,0 UFC/100 mL,NOM-201-SSA1-2015,,mL,"Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias.","NOM-201-SSA1-2015, Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias."
13,AGUA PURIFICADA,Agua purificada,Carbojet,Coliformes fecales,NO NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,N/A,NOM-201-SSA1-2015,,mL,"Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias.","NOM-201-SSA1-2015, Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias."
14,AGUA PURIFICADA,Agua purificada,Carbojet,Coliformes totales,NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,0 UFC/100 mL,NOM-201-SSA1-2015,,mL,"Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias.","NOM-201-SSA1-2015, Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias."
15,AGUA PURIFICADA,Agua purificada,De osmosis,Coliformes fecales,NO NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,N/A,NOM-201-SSA1-2015,,mL,"Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias.","NOM-201-SSA1-2015, Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias."
16,AGUA PURIFICADA,Agua purificada,De osmosis,Coliformes totales,NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,0 UFC/100 mL,NOM-201-SSA1-2015,,mL,"Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias.","NOM-201-SSA1-2015, Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias."
17,HIELOS,Agua purificada,Hielo,Coliformes fecales,NO NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,N/A,NOM-201-SSA1-2015,,mL,"Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias.","NOM-201-SSA1-2015, Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias."
18,HIELOS,Agua purificada,Hielo,Coliformes totales,NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,0 UFC/100 mL,NOM-201-SSA1-2015,,mL,"Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias.","NOM-201-SSA1-2015, Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias."
19,AGUA PURIFICADA,Agua purificada,Purificada,Coliformes fecales,NO NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,N/A,NOM-201-SSA1-2015,,mL,"Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias.","NOM-201-SSA1-2015, Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias."
20,AGUA PURIFICADA,Agua purificada,Purificada,Coliformes totales,NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,0 UFC/100 mL,NOM-201-SSA1-2015,,mL,"Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias.","NOM-201-SSA1-2015, Productos y servicios. Agua y hielo para consumo humano, envasados y a granel. Especificaciones sanitarias."
21,AGUA RESIDUAL,Agua residual,,Escherichia coli,NORMATIVO,NMP/100 mL,100,NMX-AA-042-SCFI-2015. Método NMP para la enumeración de organismos CT-CF-EC. ,50 NMP/100 mL,NOM-001-SEMARNAT-2021,,mL,Que establece los límites permisibles de contaminantes en las descargas de aguas residuales en cuerpos receptores propiedad de la nación.,"NOM-001-SEMARNAT-2021, Que establece los límites permisibles de contaminantes en las descargas de aguas residuales en cuerpos receptores propiedad de la nación. 4. Especificaciones. "
22,AGUA RESIDUAL,Agua residual,,Enterococcos fecales,NORMATIVO,NMP/100 mL,100,NMX-AA-167-SCFI-2017. Método NMP para la enumeración de organismos pátogenos: EF. ,50 NMP/100 mL,NOM-001-SEMARNAT-2021,,mL,Que establece los límites permisibles de contaminantes en las descargas de aguas residuales en cuerpos receptores propiedad de la nación.,"NOM-001-SEMARNAT-2021, Que establece los límites permisibles de contaminantes en las descargas de aguas residuales en cuerpos receptores propiedad de la nación. 4. Especificaciones. "
23,AGUA RESIDUAL,Agua residual,,Huevos de Helmintos,NORMATIVO,Huevos/litro,5 000,NMX-AA-113-SCFI-2012. Método de prueba para la medición del número de huevos de Helmintos en aguas residuales.,1 Huevos/litro,NOM-001-SEMARNAT-2021,,mL,Que establece los límites permisibles de contaminantes en las descargas de aguas residuales en cuerpos receptores propiedad de la nación.,"NOM-001-SEMARNAT-2021, Que establece los límites permisibles de contaminantes en las descargas de aguas residuales en cuerpos receptores propiedad de la nación. 4. Especificaciones. "
24,ALBERCA,Albercas y jacuzzis,,Acanthamoeba spp.,NORMATIVO,AUSENTE/ PRESENTE,600,NOM-245-SSA1-2010. Apéndice A Normativo - Patógenos.,AUSENTE,NOM-245-SSA1-2010,,mL,Requisitos sanitarios y calidad del agua que deben cumplir las albercas.,"NOM-245-SSA1-2010. Requisitos sanitarios y calidad del agua que deben cumplir las albercas. Cuadro 1. Límites permisibles de parámetros fisicoquímicos y microbiológicos, método de detección y frecuencia mínima de muestreo del agua de alberca."
25,ALBERCA,Albercas y jacuzzis,,Coliformes fecales,NORMATIVO,NMP/100 mL,100,NOM-210-SSA1-2014. Apéndice H Normativo. Método NMP. CF.,< 40 NMP/100 mL,NOM-245-SSA1-2010,,mL,Requisitos sanitarios y calidad del agua que deben cumplir las albercas.,"NOM-245-SSA1-2010. Requisitos sanitarios y calidad del agua que deben cumplir las albercas. Cuadro 1. Límites permisibles de parámetros fisicoquímicos y microbiológicos, método de detección y frecuencia mínima de muestreo del agua de alberca."
26,ALBERCA,Albercas y jacuzzis,,Legionella spp.,NORMATIVO,AUSENTE/ PRESENTE,1000,Norma UNE 100030:2017. Recuento de Legionella spp.,AUSENTE,Guías para la calidad del agua ,,mL,Cuarta edición.,"ISO 11731:2017, Calidad del Agua. Enumeración de Legionella spp."
27,ALBERCA,Albercas y jacuzzis,,Naegleria spp.,NORMATIVO,AUSENTE/ PRESENTE,600,NOM-245-SSA1-2010. Apéndice A Normativo - Patógenos.,AUSENTE,NOM-245-SSA1-2010,,mL,Requisitos sanitarios y calidad del agua que deben cumplir las albercas.,"NOM-245-SSA1-2010. Requisitos sanitarios y calidad del agua que deben cumplir las albercas. Cuadro 1. Límites permisibles de parámetros fisicoquímicos y microbiológicos, método de detección y frecuencia mínima de muestreo del agua de alberca."
28,COCIDO,Alimentos,"Cocidos como: carnes de mamíferos, aves, pescados, mariscos , crustáceos, moluscos bivalvos",Clostridium botulinum,NO NORMATIVO,AUSENTE/ PRESENTE,300,NOM-242-SSA1-2009. Apéndice B.20. Determinación de Clostridium botulinum.,N/A,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Cocidos] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.4 alimentos cocidos "
29,COCIDO,Alimentos,"Cocidos como: carnes de mamíferos, aves, pescados, mariscos , crustáceos, moluscos bivalvos",Coliformes fecales,NO NORMATIVO,NMP/g,300,NOM-210-SSA1-2014. Apéndice H Normativo. Método del NMP-CF.,N/A,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Cocidos] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.4 alimentos cocidos "
30,COCIDO,Alimentos,"Cocidos como: carnes de mamíferos, aves, pescados, mariscos , crustáceos, moluscos bivalvos",Coliformes totales,NORMATIVO,UFC/g,300,NOM-113-SSA1-1994. Método vaciado en placa para CT.,< 10 UFC/g,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Cocidos] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.4 alimentos cocidos "
31,COCIDO,Alimentos,"Cocidos como: carnes de mamíferos, aves, pescados, mariscos , crustáceos, moluscos bivalvos",Escherichia coli,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice H Normativo. Método de NMP-EC.,< 3 NMP/g,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Cocidos] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.4 alimentos cocidos "
32,COCIDO,Alimentos,"Cocidos como: carnes de mamíferos, aves, pescados, mariscos , crustáceos, moluscos bivalvos",Listeria monocytogenes,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice C Normativo. Método para el aislamiento de L. monocytogenes.,Listeria monocytogenes en 25 g:  AUSENCIA,NOM-093-SSA1-1994,g,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Cocidos] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.4 alimentos cocidos "
33,COCIDO,Alimentos,"Cocidos como: carnes de mamíferos, aves, pescados, mariscos , crustáceos, moluscos bivalvos",Listeria monocytogenes,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice C Normativo. Método para el aislamiento de L. monocytogenes.,Listeria monocytogenes en 25 mL:  AUSENCIA,NOM-093-SSA1-1994,mL,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Cocidos] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.4 alimentos cocidos "
34,COCIDO,Alimentos,"Cocidos como: carnes de mamíferos, aves, pescados, mariscos , crustáceos, moluscos bivalvos",Mesofílicos aerobios,NORMATIVO,UFC/g,300,NOM-092-SSA1-1994. Método vaciado en placa para bacterias aerobias.,150 000 UFC/g,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Cocidos] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.4 alimentos cocidos "
35,COCIDO,Alimentos,"Cocidos como: carnes de mamíferos, aves, pescados, mariscos , crustáceos, moluscos bivalvos",Pseudomonas aeruginosa.,NO NORMATIVO,AUSENTE/ PRESENTE,300,NOM-201-SSA1-2015. Apéndice A.2.1. Método de prueba para la determinación Pseudomonas aeruginosa.,N/A,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Cocidos] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.4 alimentos cocidos "
36,COCIDO,Alimentos,"Cocidos como: carnes de mamíferos, aves, pescados, mariscos , crustáceos, moluscos bivalvos",Salmonella spp.,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice A Normativo. Método para el aislamiento de Salmonella spp.,Salmonella spp. en 25 g:  AUSENCIA,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Cocidos] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.4 alimentos cocidos "
37,COCIDO,Alimentos,"Cocidos como: carnes de mamíferos, aves, pescados, mariscos , crustáceos, moluscos bivalvos",Staphylococcus aureus,NORMATIVO,AUSENTE/ PRESENTE,300,NOM-210-SSA1-2014. Apéndice B Normativo. Método S. aureus.,AUSENTE,NOM-093-SSA1-1994,,g,Bienes y servicios. Preparación de alimentos que se ofrecen en establecimientos fijos. Especificaciones sanitarias. Cédula de verificación.,"NOM-093-SSA1-1994, [Cocidos] Bienes y servicios. Prácticas de higiene y sanidad en la preparación de alimentos que se ofrecen en establecimientos fijos. Apéndice informativo B. Especificaciones microbiológicas en alimentos. 1.2.4 alimentos cocidos "
