clasificacion,tipo_de_muestra,subtipo_de_muestra,analisis,naturaleza,unidades,cantidad_de_toma,tecnica,limite_maximo_permisible,NOM,UNIDADES g O mL,Unidad,nom_Nombre,descripcion,,,,,,,,,,,,,,,
AGUA DE RED,Agua potable,Cruda,Coliformes fecales,NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,< 1 UFC/100 mL,NOM-127-SSA1-2021,,mL,Agua para uso y consumo humano. Límites permisibles de la calidad del agua.," NOM-127-SSA1-2021, Agua para uso y consumo humano. Límites permisibles de la calidad del agua.",,,,,,,,,,,,,,,
AGUA DE RED,Agua potable,Cruda,Coliformes totales,NO NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,N/A,NOM-127-SSA1-2021,,mL,Agua para uso y consumo humano. Límites permisibles de la calidad del agua.," NOM-127-SSA1-2021, Agua para uso y consumo humano. Límites permisibles de la calidad del agua.",,,,,,,,,,,,,,,
AGUA DE RED,Agua potable,De cisterna,Coliformes fecales,NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,< 1 UFC/100 mL,NOM-127-SSA1-2021,,mL,Agua para uso y consumo humano. Límites permisibles de la calidad del agua.," NOM-127-SSA1-2021, Agua para uso y consumo humano. Límites permisibles de la calidad del agua.",,,,,,,,,,,,,,,
AGUA DE RED,Agua potable,De cisterna,Coliformes totales,NO NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,N/A,NOM-127-SSA1-2021,,mL,Agua para uso y consumo humano. Límites permisibles de la calidad del agua.," NOM-127-SSA1-2021, Agua para uso y consumo humano. Límites permisibles de la calidad del agua.",,,,,,,,,,,,,,,
AGUA DE RED,Agua potable,De pozo,Coliformes fecales,NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,< 1 UFC/100 mL,NOM-127-SSA1-2021,,mL,Agua para uso y consumo humano. Límites permisibles de la calidad del agua.," NOM-127-SSA1-2021, Agua para uso y consumo humano. Límites permisibles de la calidad del agua.",,,,,,,,,,,,,,,
AGUA DE RED,Agua potable,De pozo,Coliformes totales,NO NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,N/A,NOM-127-SSA1-2021,,mL,Agua para uso y consumo humano. Límites permisibles de la calidad del agua.," NOM-127-SSA1-2021, Agua para uso y consumo humano. Límites permisibles de la calidad del agua.",,,,,,,,,,,,,,,
AGUA DE RED,Agua potable,De red,Coliformes fecales,NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,< 1 UFC/100 mL,NOM-127-SSA1-2021,,mL,Agua para uso y consumo humano. Límites permisibles de la calidad del agua.," NOM-127-SSA1-2021, Agua para uso y consumo humano. Límites permisibles de la calidad del agua.",,,,,,,,,,,,,,,
AGUA DE RED,Agua potable,De red,Mesofílicos aerobios,NORMATIVO,UFC/100mL,300,NOM-201-SSA1-2015. Apéndice A.2.4. Método de prueba para la determinación de Filtración por membrana.,10 000 UFC/mL,Norma UNE 100030:2017,,mL,Prevención y control de la proliferación y diseminación de Legionella en instalaciones.,,,,,,,,,,,,,,,,
AGUA DE RED,Agua potable,De red,Coliformes totales,NO NORMATIVO,UFC/100 mL,300,NOM-244-SSA1-2020. Apéndice C informativo. Método filtración por membrana. CT-CF.,N/A,NOM-127-SSA1-2021,,mL,Agua para uso y consumo humano. Límites permisibles de la calidad del agua.," NOM-127-SSA1-2021, Agua para uso y consumo humano. Límites permisibles de la calidad del agua.",,,,,,,,,,,,,,,
AGUA DE RED,Agua potable,De red,Legionella spp.,NORMATIVO,AUSENTE/ PRESENTE,1000,ISO 11731:2017. Método por filtración por membrana. Legionella spp. ,AUSENTE,ISO 11731:2017,,mL,Calidad del Agua. Enumeración de Legionella spp.,"ISO 11731:2017, Calidad del Agua. Enumeración de Legionella spp.",,,,,,,,,,,,,,,
